action,observation.state,timestamp,frame_index,episode_index,index,task_index
"[-5.5824175  3.032967  -2.4175825 -3.5164835 15.692307  -1.5384616
 28.175825 ]","[-3.6263652  2.219653   1.7686492 -2.572369  11.462902  -1.1253272
 27.58     ]",0.93333334,28,0,28,0
"[-5.8461537  3.032967  -2.4175825 -3.5164835 15.604396  -1.5384616
 28.175825 ]","[-3.7286143  2.2753394  1.813254  -2.637414  11.753099  -1.1538527
 27.58     ]",0.96666664,29,0,29,0
"[-6.021978   3.032967  -2.4175825 -3.5164835 15.604396  -1.5384616
 28.263737 ]","[-3.8365943  2.3319569  1.8585794 -2.7032726 12.047017  -1.1826494
 27.58     ]",1.0,30,0,30,0
"[-6.4615383  3.032967  -2.4175825 -3.5164835 15.692307  -1.5384616
 28.263737 ]","[-3.9171019  2.3732235  1.8914025 -2.7509563 12.258911  -1.2032572
 27.58     ]",1.0333333,31,0,31,0
"[-7.164835   3.032967  -2.4175825 -3.5164835 15.692307  -1.5384616
 28.175825 ]","[-4.0115666  2.4194396  1.9285493 -2.8050318 12.500093  -1.2269254
 27.58     ]",1.0666667,32,0,32,0
"[-8.043956   3.032967  -2.4175825 -3.5164835 15.604396  -1.5384616
 28.175825 ]","[-4.1068063  2.4630926  1.9630923 -2.8554027 12.724296  -1.2491269
 27.516363 ]",1.1,33,0,33,0
"[-8.835165   3.032967  -2.4175825 -3.5164835 15.604396  -1.5384616
 28.175825 ]","[-4.211387   2.507405   1.9982948 -2.9064178 12.951084  -1.2713114
 27.60291  ]",1.1333333,34,0,34,0
"[-9.450549   3.032967  -2.4175825 -3.5164835 15.604396  -1.5384616
 28.175825 ]",[-4.294798  2.539045  2.023422 -2.943251 13.113912 -1.287774 27.60291 ],1.1666666,35,0,35,0
"[-10.153846    3.032967   -2.4175825  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-4.405572   2.5747983  2.0520842 -2.9845173 13.299595  -1.3057878
 27.60291  ]",1.2,36,0,36,0
"[-10.945055    3.032967   -2.4175825  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-4.564928   2.6161058  2.0848596 -3.0326843 13.512327  -1.3269552
 27.60291  ]",1.2333333,37,0,37,0
"[-11.296703    3.032967   -2.4175825  -3.5164835  15.692307   -1.5384616
  28.263737 ]","[-4.6734247  2.6390302  2.1034467 -3.059438  13.631075  -1.3389333
 27.60291  ]",1.2666667,38,0,38,0
"[-11.736263    3.032967   -2.4175825  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-4.88069    2.6749194  2.1319594 -3.1013575 13.8158    -1.3572778
 27.60291  ]",1.3,39,0,39,0
"[-12.351648    3.032967   -2.4175825  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-5.118725   2.7076404  2.1582763 -3.1393433 13.983739  -1.373664
 27.60291  ]",1.3333334,40,0,40,0
"[-12.967033    3.1208792  -2.5054946  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-5.2960286  2.7280495  2.1745248 -3.1629689 14.088414  -1.3841248
 27.643637 ]",1.3666667,41,0,41,0
